type, name, bits

RCC_CTLR, HSION, 0
RCC_CTLR, HSIRDY, 1
RCC_CTLR, HSITRIM, 3-7
RCC_CTLR, HSEON, 16
RCC_CTLR, HSERDY, 17
RCC_CTLR, HSEBYP, 18
RCC_CTLR, CSSON, 19
RCC_CTLR, PLLON, 24
RCC_CTLR, PLLRDY, 25

RCC_CFGR0, SW, 0-1
RCC_CFGR0, SWS, 2-3
RCC_CFGR0, HPRE, 4-7
RCC_CFGR0, ADCPRE, 11-15
RCC_CFGR0, PLLSRC, 16
RCC_CFGR0, MCO, 24-26

RCC_INTR, LSIRDYF, 0
RCC_INTR, HSIRDYF, 2
RCC_INTR, HSERDYF, 3
RCC_INTR, PLLRDYF, 4
RCC_INTR, CSSF, 7
RCC_INTR, LSIRDYIE, 8
RCC_INTR, HSIRDYIE, 10
RCC_INTR, HSERDYIE, 11
RCC_INTR, PLLRDYIE, 12
RCC_INTR, LSIRDYC, 16
RCC_INTR, HSERDYC, 19
RCC_INTR, HSIRDYC, 18
RCC_INTR, PLLRDYC, 20
RCC_INTR, CSSC, 23

RCC_APB2PRSTR, AFIORST, 0
RCC_APB2PRSTR, IOPARST, 2
RCC_APB2PRSTR, IOPCRST, 4
RCC_APB2PRSTR, IOPDRST, 5
RCC_APB2PRSTR, ADC1RST, 9
RCC_APB2PRSTR, TIM1RST, 11
RCC_APB2PRSTR, SPI1RST, 12
RCC_APB2PRSTR, USART1RST, 14

RCC_APB1PRSTR, TIM2RST, 0
RCC_APB1PRSTR, WWDGRST, 11
RCC_APB1PRSTR, I2C1RST, 21
RCC_APB1PRSTR, PWRRST, 28

RCC_AHBPCENR, DMA1EN, 0
RCC_AHBPCENR, SRAMEN, 2

RCC_APB2PCENR, AFIOEN, 0
RCC_APB2PCENR, IOPAEN, 2
RCC_APB2PCENR, IOPCEN, 4
RCC_APB2PCENR, IOPDEN, 5
RCC_APB2PCENR, ADC1EN, 9
RCC_APB2PCENR, TIM1EN, 11
RCC_APB2PCENR, SPI1EN, 12
RCC_APB2PCENR, USART1EN, 14

RCC_APB1PCENR, TIM2EN, 0
RCC_APB1PCENR, WWDGEN, 11
RCC_APB1PCENR, I2C1EN, 21
RCC_APB1PCENR, PWREN, 28

RCC_RSTSCKR, LSION, 0
RCC_RSTSCKR, LSIRDY, 1
RCC_RSTSCKR, RMVF, 24
RCC_RSTSCKR, PINRSTF, 26
RCC_RSTSCKR, PORRSTF, 27
RCC_RSTSCKR, SFTRSTF, 28
RCC_RSTSCKR, IWDGRSTF, 29
RCC_RSTSCKR, WWDGRSTF, 30
RCC_RSTSCKR, LPWRRSTF, 31
